Channel Hyperlink: (Fraudulent Videos, Total Videos, Percentage Fraudulent)
https://www.youtube.com/channel/UC3lDHw2FaTnBmLFa8H-f_OQ: (1, 1, 100.0)
https://www.youtube.com/channel/UCxO7rPjTzquQWLEuESfOl9g: (2, 11, 18.181818181818183)
https://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ: (46, 47, 97.87234042553192)
https://www.youtube.com/channel/UCY8dT43ASQbvvD3-GgEKsmg: (14, 18, 77.77777777777779)
https://www.youtube.com/channel/UCm-0lt5i5Zyi-_XMbBapdPQ: (36, 47, 76.59574468085107)
https://www.youtube.com/channel/UC4XMd4ydC6NG1F-KotHBBZA: (47, 48, 97.91666666666666)
https://www.youtube.com/channel/UCY__JXfCOJbuR-_7Nfsw0Pg: (1, 1, 100.0)
https://www.youtube.com/channel/UCLaaIi4Ha4zvfvF8HpZJCfA: (4, 4, 100.0)
https://www.youtube.com/channel/UC_j05ldN35EHz2iZk0nbcIQ: (1, 2, 50.0)
https://www.youtube.com/channel/UCvm9vVgfhjUpZSJ5WQXVVNw: (8, 14, 57.14285714285714)
https://www.youtube.com/channel/UCzdaZgCp4yb9taWVeZ-xjlw: (7, 12, 58.333333333333336)
https://www.youtube.com/channel/UCSTMpD0f9Ny09oqVOQD4jsA: (1, 2, 50.0)
https://www.youtube.com/channel/UC1EC3wC1AEVg7-GIH_5otNw: (44, 48, 91.66666666666666)
https://www.youtube.com/channel/UCbzEl5LIa0kn4SpxrTT9OYQ: (42, 48, 87.5)
https://www.youtube.com/channel/UCpiFusB3ka4q1cT8ZIG__Vw: (1, 1, 100.0)
https://www.youtube.com/channel/UCc1rK5m2XWjqR3lRDOuRoMA: (6, 8, 75.0)
https://www.youtube.com/channel/UCS__18S5Y4edchmgVBa-v2A: (1, 2, 50.0)
https://www.youtube.com/channel/UCJT69IHdKi5SsrIOi5CfFVg: (1, 1, 100.0)
https://www.youtube.com/channel/UCq-Cx9iqutGXXWgGlrSbKlw: (7, 8, 87.5)
https://www.youtube.com/channel/UCROgYe41HA-Fg6JYGoYfY0g: (14, 21, 66.66666666666666)
https://www.youtube.com/channel/UCTbVsubDv7GYGonWI8yZ1Qg: (39, 50, 78.0)
https://www.youtube.com/channel/UCeBF9nJek-Yvta_4N1VX2vQ: (48, 50, 96.0)
https://www.youtube.com/channel/UCj7MRUYIMlAMKY7V2n-MiIQ: (4, 5, 80.0)
https://www.youtube.com/channel/UCQY8eScfdTmq2KYW_OaJTOA: (7, 10, 70.0)
https://www.youtube.com/channel/UCb_z6F1lb79NS535uFM75OA: (1, 1, 100.0)
https://www.youtube.com/channel/UCwLfau6opb68pUH8nj2bsug: (2, 3, 66.66666666666666)
https://www.youtube.com/channel/UC-TjSg-FryLJpeWh_LfQISA: (49, 50, 98.0)
https://www.youtube.com/channel/UCukW0J7PZVC7wb4jaOJqnjw: (2, 3, 66.66666666666666)
https://www.youtube.com/channel/UCS3-0moyOZrMPBt7Lzcm4hw: (1, 2, 50.0)
https://www.youtube.com/channel/UCvW-jwey_iD_VR8ds3dfnAQ: (1, 1, 100.0)
https://www.youtube.com/channel/UC6qJ7rHKVUJP6c2r73j4gow: (1, 1, 100.0)
https://www.youtube.com/channel/UCZvdNECgcn5UzGE8d01FzLw: (1, 1, 100.0)
https://www.youtube.com/channel/UCom7mj2prVZhCe3rnh_oU6w: (3, 3, 100.0)
https://www.youtube.com/channel/UC2i4zxEDw1XwHFtY4Vlzc-Q: (5, 5, 100.0)
https://www.youtube.com/channel/UCc_JjkCl0fWcGUqbjH4y2Cw: (5, 6, 83.33333333333334)
https://www.youtube.com/channel/UCgtPET-APEzypSCif306hxw: (2, 3, 66.66666666666666)
https://www.youtube.com/channel/UCh22nsxMXmwv3plfopFHqvA: (1, 1, 100.0)
https://www.youtube.com/channel/UC_MTE8H-i_spop-Gc9tOCDQ: (38, 48, 79.16666666666666)
https://www.youtube.com/channel/UCXjcyZ6Xh2zCXj3Uy9ZuR4g: (48, 50, 96.0)
https://www.youtube.com/channel/UCi1U6LN5xrNgEpGhbXx3G8Q: (18, 29, 62.06896551724138)
https://www.youtube.com/channel/UCmTXkrOZMDPFNbqKcVBrogA: (1, 1, 100.0)
https://www.youtube.com/channel/UCXbM6lVpmnfEigtig_DejaQ: (44, 49, 89.79591836734694)
https://www.youtube.com/channel/UC-4ZKgqM_CoyFu83IP7hbhg: (2, 3, 66.66666666666666)
https://www.youtube.com/channel/UCYjmZOHABanxsYpr0EXFiNQ: (1, 1, 100.0)
https://www.youtube.com/channel/UC_4EQ0XQAf2LQMSjPz2eXTg: (9, 14, 64.28571428571429)
https://www.youtube.com/channel/UC7wNtoknsymNMIlPVZnx5zw: (3, 4, 75.0)
https://www.youtube.com/channel/UCbozz7rMRwN0938oyHfhsng: (1, 2, 50.0)
https://www.youtube.com/channel/UC6R67O-pgg-uCvKgcdZpDBg: (1, 3, 33.33333333333333)
https://www.youtube.com/channel/UCEh6Y90uH8eUnmgajjS1Cfg: (5, 12, 41.66666666666667)
https://www.youtube.com/channel/UCJRgdU8QeOEh_kWeSacCvUg: (5, 5, 100.0)
https://www.youtube.com/channel/UCD_9cphD0gPT097jE35Sinw: (50, 50, 100.0)
https://www.youtube.com/channel/UCcz48B3C4jyExayEdWmKJgw: (3, 5, 60.0)
https://www.youtube.com/channel/UCw5ZNp6vBUFhqCyGKScEDCQ: (4, 5, 80.0)
https://www.youtube.com/channel/UC3du9Mi_BOFnaQ5531J6jIA: (1, 1, 100.0)
https://www.youtube.com/channel/UC0jtv7I28bbp6bGvqAgCGxA: (19, 21, 90.47619047619048)
https://www.youtube.com/channel/UC6YesFz-e2fE8Gglxsvbflw: (1, 1, 100.0)
https://www.youtube.com/channel/UCzeDyEpaEN2D-Krx1jsoMkw: (41, 43, 95.34883720930233)
https://www.youtube.com/channel/UCFqanUMpCMh54RmqRFh8hZw: (1, 1, 100.0)
https://www.youtube.com/channel/UCkVbMXrd2EXzM9sABcWTjEg: (13, 14, 92.85714285714286)
